sorteio,ano,mes,n1,n2,n3,n4,n5,n6,data
5-10-16-44-50-52,2014,7,5,10,16,44,50,52,2014-07-05
17-19-33-35-39-52,2015,7,17,19,33,35,39,52,2015-07-05
5-10-12-22-28-46,2016,7,5,10,12,22,28,46,2016-07-05
13-21-26-29-42-47,2003,7,13,21,26,29,42,47,2003-07-06
4-12-25-34-35-48,2006,7,4,12,25,34,35,48,2006-07-06
14-23-25-28-38-53,2008,7,14,23,25,28,38,53,2008-07-06
1-15-37-42-46-54,2014,7,1,15,37,42,46,54,2014-07-06
10-11-21-50-51-54,2016,7,10,11,21,50,51,54,2016-07-06
4-23-31-47-58-59,2001,7,4,23,31,47,58,59,2001-07-07
3-18-23-48-56-58,2004,7,3,18,23,48,56,58,2004-07-07
17-41-42-44-45-60,2007,7,17,41,42,44,45,60,2007-07-07
6-13-24-41-50-53,2010,7,6,13,24,41,50,53,2010-07-07
7-8-27-31-32-51,2012,7,7,8,27,31,32,51,2012-07-07
18-23-31-39-49-57,2015,7,18,23,31,39,49,57,2015-07-07
5-6-23-26-27-53,1999,7,5,6,23,26,27,53,1999-07-08
5-12-16-18-22-24,2002,7,5,12,16,18,22,24,2002-07-08
2-18-29-30-36-60,2004,7,2,18,29,30,36,60,2004-07-08
7-9-30-33-38-55,2010,7,7,9,30,33,38,55,2010-07-08
13-15-33-45-54-55,2012,7,13,15,33,45,54,55,2012-07-08
2-27-32-41-47-58,2014,7,2,27,32,41,47,58,2014-07-08
2-13-17-25-31-43,1997,7,2,13,17,25,31,43,1997-07-09
5-15-35-42-45-49,2002,7,5,15,35,42,45,49,2002-07-09
25-28-38-41-57-59,2000,7,25,28,38,41,57,59,2000-07-10
2-30-36-43-48-60,2006,7,2,30,36,43,48,60,2006-07-10
18-30-37-41-44-50,2009,7,18,30,37,41,44,50,2009-07-10
2-10-13-41-49-53,2015,7,2,10,13,41,49,53,2015-07-10
7-31-41-44-46-55,1998,7,7,31,41,44,46,55,1998-07-11
22-24-30-32-38-41,2001,7,22,24,30,32,38,41,2001-07-11
23-25-30-46-47-59,2007,7,23,25,30,46,47,59,2007-07-11
7-11-16-18-33-49,2009,7,7,11,16,18,33,49,2009-07-11
2-6-28-36-51-56,2012,7,2,6,28,36,51,56,2012-07-11
6-11-16-23-36-42,2015,7,6,11,16,23,36,42,2015-07-11
1-3-5-23-24-51,1997,7,1,3,5,23,24,51,1997-07-12
12-29-30-43-57-59,2002,7,12,29,30,43,57,59,2002-07-12
12-31-44-51-54-56,2005,7,12,31,44,51,54,56,2005-07-12
19-20-31-42-51-56,2011,7,19,20,31,42,51,56,2011-07-12
30-32-49-50-52-53,2013,7,30,32,49,50,52,53,2013-07-12
5-20-22-30-35-55,2000,8,5,20,22,30,35,55,2000-08-01
3-13-14-24-43-51,2003,8,3,13,14,24,43,51,2003-08-01
15-16-39-40-47-51,2005,8,15,16,39,40,47,51,2005-08-01
3-9-11-24-36-51,2011,8,3,9,11,24,36,51,2011-08-01
1-18-29-31-37-39,1998,8,1,18,29,31,37,39,1998-08-02
1-6-7-29-48-57,2003,8,1,6,7,29,48,57,2003-08-02
1-21-38-41-49-56,2006,8,1,21,38,41,49,56,2006-08-02
23-27-30-37-38-44,2012,8,23,27,30,37,38,44,2012-08-02
20-27-42-45-46-47,2014,8,20,27,42,45,46,47,2014-08-02
3-13-31-43-46-49,1998,8,3,13,31,43,46,49,1998-08-03
11-17-26-36-48-52,2003,8,11,17,26,36,48,52,2003-08-03
4-12-23-26-39-46,2006,8,4,12,23,26,39,46,2006-08-03
23-41-42-48-49-59,2008,8,23,41,42,48,49,59,2008-08-03
1-6-14-17-33-36,2014,8,1,6,14,17,33,36,2014-08-03
2-13-14-35-54-57,2016,8,2,13,14,35,54,57,2016-08-03
1-2-6-16-19-46,1996,8,1,2,6,16,19,46,1996-08-04
6-12-30-31-35-50,2000,8,6,12,30,31,35,50,2000-08-04
2-7-22-35-43-59,2006,8,2,7,22,35,43,59,2006-08-04
1-22-44-47-49-50,2009,8,1,22,44,47,49,50,2009-08-04
5-15-18-19-21-38,2015,8,5,15,18,19,21,38,2015-08-04
12-13-22-57-59-60,1999,8,12,13,22,57,59,60,1999-08-05
13-19-20-29-31-54,2002,8,13,19,20,29,31,54,2002-08-05
1-20-36-39-49-55,2004,8,1,20,36,39,49,55,2004-08-05
33-38-47-50-52-55,2010,8,33,38,47,50,52,55,2010-08-05
4-9-18-44-46-48,2013,8,4,9,18,44,46,48,2013-08-05
12-13-15-26-33-48,1997,8,12,13,15,26,33,48,1997-08-06
13-29-32-38-44-50,2002,8,13,29,32,38,44,50,2002-08-06
9-16-27-38-39-51,2005,8,9,16,27,38,39,51,2005-08-06
2-3-14-23-34-50,2011,8,2,3,14,23,34,50,2011-08-06
1-7-13-29-37-54,2013,8,1,7,13,29,37,54,2013-08-06
23-27-36-37-42-56,1996,8,23,27,36,37,42,56,1996-08-07
11-26-27-37-42-48,2000,8,11,26,27,37,42,48,2000-08-07
25-26-29-36-52-54,2006,8,25,26,29,36,52,54,2006-08-07
2-18-20-32-37-48,2009,8,2,18,20,32,37,48,2009-08-07
21-29-50-51-54-59,1998,8,21,29,50,51,54,59,1998-08-08
12-32-37-41-50-56,2001,8,12,32,37,41,50,56,2001-08-08
15-16-19-22-34-35,2007,8,15,16,19,22,34,35,2007-08-08
11-20-21-30-50-52,2009,8,11,20,21,30,50,52,2009-08-08
5-6-15-23-56-59,2013,8,5,6,15,23,56,59,2013-08-08
5-18-27-43-49-59,2015,8,5,18,27,43,49,59,2015-08-08
13-17-20-33-44-51,1996,8,13,17,20,33,44,51,1996-08-09
22-25-28-41-45-57,2001,8,22,25,28,41,45,57,2001-08-09
11-14-28-43-54-60,2004,8,11,14,28,43,54,60,2004-08-09
4-18-21-34-38-59,2007,8,4,18,21,34,38,59,2007-08-09
2-23-33-35-40-50,2010,8,2,23,33,35,40,50,2010-08-09
6-13-29-30-35-37,2011,8,6,13,29,30,35,37,2011-08-09
3-8-21-25-27-43,2012,8,3,8,21,25,27,43,2012-08-09
7-10-21-27-48-49,2003,8,7,10,21,27,48,49,2003-08-10
3-11-13-15-26-43,2005,8,3,11,13,15,26,43,2005-08-10
2-11-21-30-35-52,2008,8,2,11,21,30,35,52,2008-08-10
10-11-18-19-30-50,2011,8,10,11,18,19,30,50,2011-08-10
3-23-42-43-47-60,2014,8,3,23,42,43,47,60,2014-08-10
4-8-31-40-53-58,2003,8,4,8,31,40,53,58,2003-08-11
2-8-11-41-46-50,2006,8,2,8,11,41,46,50,2006-08-11
1-2-19-32-39-52,2008,8,1,2,19,32,39,52,2008-08-11
8-27-35-38-41-44,2014,8,8,27,35,38,41,44,2014-08-11
3-5-8-12-46-47,1996,8,3,5,8,12,46,47,1996-08-12
20-22-27-47-50-53,2001,8,20,22,27,47,50,53,2001-08-12
19-27-29-38-50-59,2004,8,19,27,29,38,50,59,2004-08-12
21-33-34-40-41-59,2007,8,21,33,34,40,41,59,2007-08-12
13-14-24-39-40-45,2010,8,13,14,24,39,40,45,2010-08-12
2-6-18-30-52-56,2012,8,2,6,18,30,52,56,2012-08-12
7-11-20-28-45-48,1999,9,7,11,20,28,45,48,1999-09-01
29-32-33-38-46-48,2002,9,29,32,33,38,46,48,2002-09-01
8-14-25-39-45-51,2008,9,8,14,25,39,45,51,2008-09-01
3-30-35-44-47-60,2010,9,3,30,35,44,47,60,2010-09-01
2-4-16-33-44-51,2013,9,2,4,16,33,44,51,2013-09-01
1-6-13-20-36-43,2014,9,1,6,13,20,36,43,2014-09-01
4-10-38-40-45-48,2016,9,4,10,38,40,45,48,2016-09-01
7-13-33-35-43-55,1997,9,7,13,33,35,43,55,1997-09-02
2-18-22-26-30-54,2002,9,2,18,22,26,30,54,2002-09-02
5-8-18-42-52-59,2008,9,5,8,18,42,52,59,2008-09-02
26-33-35-38-43-53,2011,9,26,33,35,38,43,53,2011-09-02
23-24-26-41-52-53,2013,9,23,24,26,41,52,53,2013-09-02
3-13-16-38-42-46,1997,9,3,13,16,38,42,46,1997-09-03
4-6-7-12-24-41,2002,9,4,6,7,12,24,41,2002-09-03
3-24-48-52-53-54,2005,9,3,24,48,52,53,54,2005-09-03
4-17-36-37-51-56,2011,9,4,17,36,37,51,56,2011-09-03
12-13-37-44-48-51,2013,9,12,13,37,44,48,51,2013-09-03
11-16-30-36-51-54,2003,9,11,16,30,36,51,54,2003-09-04
6-10-11-40-41-56,2005,9,6,10,11,40,41,56,2005-09-04
3-5-11-33-39-57,2008,9,3,5,11,33,39,57,2008-09-04
13-19-26-40-58-60,2011,9,13,19,26,40,58,60,2011-09-04
4-5-11-19-41-51,2014,9,4,5,11,19,41,51,2014-09-04
1-15-16-22-25-43,2016,9,1,15,16,22,25,43,2016-09-04
6-12-18-37-47-54,1998,9,6,12,18,37,47,54,1998-09-05
23-26-27-41-51-53,2007,9,23,26,27,41,51,53,2007-09-05
9-18-19-43-47-54,2009,9,9,18,19,43,47,54,2009-09-05
18-27-32-43-50-52,2012,9,18,27,32,43,50,52,2012-09-05
3-23-26-35-39-49,2015,9,3,23,26,35,39,49,2015-09-05
16-19-30-37-38-48,2001,9,16,19,30,37,38,48,2001-09-06
15-32-33-35-36-51,2004,9,15,32,33,35,36,51,2004-09-06
10-20-42-44-52-59,2007,9,10,20,42,44,52,59,2007-09-06
7-8-12-13-15-41,2010,9,7,8,12,13,15,41,2010-09-06
29-48-52-54-55-58,2012,9,29,48,52,54,55,58,2012-09-06
17-19-32-43-48-51,2016,9,17,19,32,43,48,51,2016-09-06
3-8-21-25-30-31,2003,9,3,8,21,25,30,31,2003-09-07
2-3-5-22-26-44,2005,9,2,3,5,22,26,44,2005-09-07
4-16-18-46-56-59,2008,9,4,16,18,46,56,59,2008-09-07
8-22-32-43-53-56,2011,9,8,22,32,43,53,56,2011-09-07
5-20-26-31-33-44,2014,9,5,20,26,31,33,44,2014-09-07
4-12-19-33-36-38,2015,9,4,12,19,33,36,38,2015-09-07
8-28-36-47-50-58,2016,9,8,28,36,47,50,58,2016-09-07
8-22-25-48-52-54,2003,9,8,22,25,48,52,54,2003-09-08
17-19-29-31-44-57,2006,9,17,19,29,31,44,57,2006-09-08
3-20-29-40-44-58,2008,9,3,20,29,40,44,58,2008-09-08
7-8-24-30-33-47,2011,9,7,8,24,30,33,47,2011-09-08
21-37-44-46-49-57,2012,9,21,37,44,46,49,57,2012-09-08
11-22-36-40-45-52,2014,9,11,22,36,40,45,52,2014-09-08
3-9-13-29-30-51,2016,9,3,9,13,29,30,51,2016-09-08
10-25-50-52-57-60,2000,9,10,25,50,52,57,60,2000-09-09
6-12-47-48-52-58,2006,9,6,12,47,48,52,58,2006-09-09
3-9-20-36-53-54,2009,9,3,9,20,36,53,54,2009-09-09
10-15-25-38-47-53,2015,9,10,15,25,38,47,53,2015-09-09
7-16-27-31-46-60,2002,9,7,16,27,31,46,60,2002-09-10
4-24-44-49-52-53,2004,9,4,24,44,49,52,53,2004-09-10
5-14-37-43-46-58,2010,9,5,14,37,43,46,58,2010-09-10
6-10-33-50-51-56,2013,9,6,10,33,50,51,56,2013-09-10
4-18-29-37-43-45,1997,9,4,18,29,37,43,45,1997-09-11
5-12-14-21-45-59,2002,9,5,12,14,21,45,59,2002-09-11
7-8-35-43-53-58,2005,9,7,8,35,43,53,58,2005-09-11
3-14-20-22-49-51,2011,9,3,14,20,22,49,51,2011-09-11
4-17-38-44-53-60,2013,9,4,17,38,44,53,60,2013-09-11
21-36-40-49-54-55,2000,9,21,36,40,49,54,55,2000-09-12
1-15-26-51-54-59,2006,9,1,15,26,51,54,59,2006-09-12
5-10-16-21-39-58,2009,9,5,10,16,21,39,58,2009-09-12
5-7-11-34-35-50,2015,9,5,7,11,34,35,50,2015-09-12
8-12-28-31-34-37,2004,10,8,12,28,31,34,37,2004-10-01
15-17-23-33-39-49,2007,10,15,17,23,33,39,49,2007-10-01
6-7-28-35-43-51,2009,10,6,7,28,35,43,51,2009-10-01
5-40-47-52-55-57,2015,10,5,40,47,52,55,57,2015-10-01
7-12-50-54-55-60,2001,10,7,12,50,54,55,60,2001-10-02
7-22-32-36-38-51,2007,10,7,22,32,36,38,51,2007-10-02
14-20-29-36-44-47,2010,10,14,20,29,36,44,47,2010-10-02
6-25-43-57-58-59,2016,10,6,25,43,57,58,59,2016-10-02
11-20-48-53-58-60,2001,10,11,20,48,53,58,60,2001-10-03
11-17-33-34-47-56,2004,10,11,17,33,34,47,56,2004-10-03
17-27-32-34-47-56,2007,10,17,27,32,34,47,56,2007-10-03
1-3-5-18-40-48,2010,10,1,3,5,18,40,48,2010-10-03
2-4-5-27-49-59,2012,10,2,4,5,27,49,59,2012-10-03
2-9-23-28-45-53,2016,10,2,9,23,28,45,53,2016-10-03
21-23-33-38-48-51,1999,10,21,23,33,38,48,51,1999-10-04
7-20-25-44-47-49,2002,10,7,20,25,44,47,49,2002-10-04
4-43-46-53-54-58,2004,10,4,43,46,53,54,58,2004-10-04
1-11-14-23-42-48,2010,10,1,11,14,23,42,48,2010-10-04
17-20-24-29-49-53,2013,10,17,20,24,29,49,53,2013-10-04
15-17-20-29-30-60,2003,10,15,17,20,29,30,60,2003-10-05
9-12-21-37-39-54,2006,10,9,12,21,37,39,54,2006-10-05
1-4-13-30-51-60,2008,10,1,4,13,30,51,60,2008-10-05
29-31-36-42-47-53,2014,10,29,31,36,42,47,53,2014-10-05
2-16-23-27-47-53,1996,10,2,16,23,27,47,53,1996-10-06
2-6-22-24-28-58,2000,10,2,6,22,24,28,58,2000-10-06
14-21-29-34-46-47,2006,10,14,21,29,34,46,47,2006-10-06
9-16-24-29-52-56,2009,10,9,16,24,29,52,56,2009-10-06
2-12-19-29-50-59,2015,10,2,12,19,29,50,59,2015-10-06
1-10-13-20-42-50,1999,10,1,10,13,20,42,50,1999-10-07
3-12-19-27-45-46,2002,10,3,12,19,27,45,46,2002-10-07
4-9-15-17-34-39,2004,10,4,9,15,17,34,39,2004-10-07
17-20-26-27-55-57,2010,10,17,20,26,27,55,57,2010-10-07
1-8-17-44-46-53,2013,10,1,8,17,44,46,53,2013-10-07
21-24-35-36-37-49,1997,10,21,24,35,36,37,49,1997-10-08
17-35-36-39-43-54,2002,10,17,35,36,39,43,54,2002-10-08
6-7-31-49-51-60,2005,10,6,7,31,49,51,60,2005-10-08
7-31-35-36-46-48,2013,10,7,31,35,36,46,48,2013-10-08
10-19-20-29-41-59,2003,10,10,19,20,29,41,59,2003-10-09
28-31-32-35-51-53,2005,10,28,31,32,35,51,53,2005-10-09
5-10-16-23-26-27,2008,10,5,10,16,23,26,27,2008-10-09
11-14-16-28-34-46,2011,10,11,14,16,28,34,46,2011-10-09
9-10-23-33-44-51,2014,10,9,10,23,33,44,51,2014-10-09
1-17-25-38-45-59,1998,10,1,17,25,38,45,59,1998-10-10
17-27-34-42-43-46,1999,10,17,27,34,42,43,46,1999-10-10
7-13-17-30-37-47,2001,10,7,13,17,30,37,47,2001-10-10
17-22-26-28-38-42,2007,10,17,22,26,28,38,42,2007-10-10
4-9-13-17-20-47,2009,10,4,9,13,17,20,47,2009-10-10
16-24-25-42-45-59,2012,10,16,24,25,42,45,59,2012-10-10
3-13-14-29-33-43,2015,10,3,13,14,29,33,43,2015-10-10
3-13-17-25-29-51,1996,10,3,13,17,25,29,51,1996-10-11
14-23-30-41-47-50,2001,10,14,23,30,41,47,50,2001-10-11
12-16-31-48-57-60,2004,10,12,16,31,48,57,60,2004-10-11
4-8-12-38-44-52,2007,10,4,8,12,38,44,52,2007-10-11
9-12-19-22-35-37,2010,10,9,12,19,22,35,37,2010-10-11
17-29-36-38-53-56,2012,10,17,29,36,38,53,56,2012-10-11
2-14-21-22-51-60,2015,10,2,14,21,22,51,60,2015-10-11
15-25-28-32-38-45,2003,10,15,25,28,32,38,45,2003-10-12
3-14-23-25-36-55,2005,10,3,14,23,25,36,55,2005-10-12
5-16-17-20-24-32,2008,10,5,16,17,20,24,32,2008-10-12
8-19-21-36-42-59,2011,10,8,19,21,36,42,59,2011-10-12
8-17-34-38-42-51,2014,10,8,17,34,38,42,51,2014-10-12
5-11-14-35-53-56,1998,11,5,11,14,35,53,56,1998-11-01
8-28-30-32-46-60,2003,11,8,28,30,32,46,60,2003-11-01
8-13-24-32-42-44,2006,11,8,13,24,32,42,44,2006-11-01
3-11-13-27-32-47,2012,11,3,11,13,27,32,47,2012-11-01
25-38-44-46-53-54,2014,11,25,38,44,46,53,54,2014-11-01
3-7-19-34-37-39,2004,11,3,7,19,34,37,39,2004-11-02
11-12-24-32-33-38,2006,11,11,12,24,32,33,38,2006-11-02
1-2-8-10-14-48,2009,11,1,2,8,10,14,48,2009-11-02
2-12-19-22-36-58,2012,11,2,12,19,22,36,58,2012-11-02
10-15-28-33-51-52,2015,11,10,15,28,33,51,52,2015-11-02
4-5-30-33-41-52,1996,11,4,5,30,33,41,52,1996-11-03
20-32-37-38-48-58,2000,11,20,32,37,38,48,58,2000-11-03
2-16-21-37-43-57,2006,11,2,16,21,37,43,57,2006-11-03
12-15-16-20-27-32,2009,11,12,15,16,20,27,32,2009-11-03
3-18-31-39-46-51,2015,11,3,18,31,39,46,51,2015-11-03
18-31-43-52-57-58,1998,11,18,31,43,52,57,58,1998-11-04
2-3-17-49-50-59,2007,11,2,3,17,49,50,59,2007-11-04
4-16-19-28-29-49,2009,11,4,16,19,28,29,49,2009-11-04
5-12-36-45-50-58,2012,11,5,12,36,45,50,58,2012-11-04
20-29-34-37-45-57,2015,11,20,29,34,37,45,57,2015-11-04
6-8-13-24-31-52,1997,11,6,8,13,24,31,52,1997-11-05
23-24-29-47-53-55,2002,11,23,24,29,47,53,55,2002-11-05
1-27-30-49-51-55,2005,11,1,27,30,49,51,55,2005-11-05
4-23-39-52-55-56,2011,11,4,23,39,52,55,56,2011-11-05
7-12-24-27-30-49,2013,11,7,12,24,27,30,49,2013-11-05
1-4-26-39-47-55,2016,11,1,4,26,39,47,55,2016-11-05
8-11-23-37-51-58,2003,11,8,11,23,37,51,58,2003-11-06
24-28-34-38-43-53,2005,11,24,28,34,38,43,53,2005-11-06
3-5-7-9-17-32,2008,11,3,5,7,9,17,32,2008-11-06
18-40-47-54-57-58,2011,11,18,40,47,54,57,58,2011-11-06
7-31-32-41-51-52,2014,11,7,31,32,41,51,52,2014-11-06
26-33-42-43-53-54,2016,11,26,33,42,43,53,54,2016-11-06
13-14-16-26-32-42,1998,11,13,14,16,26,32,42,1998-11-07
21-32-37-52-53-60,2007,11,21,32,37,52,53,60,2007-11-07
9-20-24-36-40-42,2009,11,9,20,24,36,40,42,2009-11-07
3-14-17-32-37-39,2012,11,3,14,17,32,37,39,2012-11-07
9-23-39-41-49-58,2015,11,9,23,39,41,49,58,2015-11-07
29-35-37-44-47-56,2001,11,29,35,37,44,47,56,2001-11-08
11-13-45-46-53-55,2004,11,11,13,45,46,53,55,2004-11-08
1-19-42-44-49-52,2007,11,1,19,42,44,49,52,2007-11-08
5-10-25-39-43-52,2010,11,5,10,25,39,43,52,2010-11-08
7-12-25-26-32-39,2011,11,7,12,25,26,32,39,2011-11-08
26-36-40-46-49-51,2012,11,26,36,40,46,49,51,2012-11-08
6-24-26-30-34-49,2016,11,6,24,26,30,34,49,2016-11-08
9-16-21-34-41-60,1999,11,9,16,21,34,41,60,1999-11-09
10-11-14-20-31-58,2002,11,10,11,14,20,31,58,2002-11-09
22-27-29-40-42-56,2004,11,22,27,29,40,42,56,2004-11-09
3-11-26-34-45-53,2010,11,3,11,26,34,45,53,2010-11-09
11-15-17-34-35-49,2013,11,11,15,17,34,35,49,2013-11-09
8-11-19-30-39-50,2003,11,8,11,19,30,39,50,2003-11-10
14-19-40-47-55-58,2008,11,14,19,40,47,55,58,2008-11-10
23-27-35-52-53-57,2013,11,23,27,35,52,53,57,2013-11-10
16-19-20-28-37-60,2014,11,16,19,20,28,37,60,2014-11-10
8-27-44-51-53-60,2000,11,8,27,44,51,53,60,2000-11-11
9-19-37-39-50-57,2006,11,9,19,37,39,50,57,2006-11-11
3-7-29-33-42-56,2009,11,3,7,29,33,42,56,2009-11-11
5-12-15-19-29-52,1999,11,5,12,15,19,29,52,1999-11-12
5-35-37-38-45-51,2002,11,5,35,37,38,45,51,2002-11-12
9-23-30-42-49-55,2004,11,9,23,30,42,49,55,2004-11-12
1-15-37-39-48-52,2010,11,1,15,37,39,48,52,2010-11-12
2-5-23-33-52-59,2013,11,2,5,23,33,52,59,2013-11-12
7-30-37-44-53-55,1997,12,7,30,37,44,53,55,1997-12-01
5-7-14-21-23-51,2002,12,5,7,14,21,23,51,2002-12-01
12-16-20-45-53-60,2005,12,12,16,20,45,53,60,2005-12-01
1-3-21-25-44-48,2008,12,1,3,21,25,44,48,2008-12-01
20-33-34-57-58-60,2011,12,20,33,34,57,58,60,2011-12-01
2-6-30-34-35-52,2013,12,2,6,30,34,35,52,2013-12-01
12-25-30-39-56-57,2016,12,12,25,30,39,56,57,2016-12-01
18-20-26-34-51-56,2000,12,18,20,26,34,51,56,2000-12-02
7-10-30-44-54-59,2003,12,7,10,30,44,54,59,2003-12-02
10-11-36-41-42-50,2005,12,10,11,36,41,42,50,2005-12-02
2-15-26-27-30-52,2011,12,2,15,26,27,30,52,2011-12-02
7-16-21-35-36-38,2014,12,7,16,21,35,36,38,2014-12-02
3-24-33-48-52-57,2003,12,3,24,33,48,52,57,2003-12-03
10-13-32-47-49-60,2005,12,10,13,32,47,49,60,2005-12-03
14-24-34-39-49-55,2008,12,14,24,34,39,49,55,2008-12-03
13-19-24-46-50-60,2011,12,13,19,24,46,50,60,2011-12-03
14-15-25-30-31-34,2014,12,14,15,25,30,31,34,2014-12-03
1-3-4-39-51-53,2016,12,1,3,4,39,51,53,2016-12-03
8-20-23-34-52-58,2003,12,8,20,23,34,52,58,2003-12-04
3-4-13-34-42-50,2006,12,3,4,13,34,42,50,2006-12-04
6-18-19-33-34-53,2008,12,6,18,19,33,34,53,2008-12-04
7-20-34-40-44-55,2014,12,7,20,34,40,44,55,2014-12-04
14-24-26-29-31-54,2001,12,14,24,26,29,31,54,2001-12-05
16-23-35-37-55-57,2004,12,16,23,35,37,55,57,2004-12-05
5-27-36-40-46-48,2007,12,5,27,36,40,46,48,2007-12-05
1-22-30-45-50-53,2010,12,1,22,30,45,50,53,2010-12-05
22-29-31-43-50-54,2012,12,22,29,31,43,50,54,2012-12-05
4-27-40-43-46-54,1999,12,4,27,40,43,46,54,1999-12-06
1-14-21-35-42-60,2002,12,1,14,21,35,42,60,2002-12-06
12-13-14-31-50-51,2004,12,12,13,14,31,50,51,2004-12-06
8-17-19-40-43-49,2010,12,8,17,19,40,43,49,2010-12-06
6-22-43-51-52-57,2013,12,6,22,43,51,52,57,2013-12-06
20-26-41-46-54-58,2003,12,20,26,41,46,54,58,2003-12-07
7-10-28-50-51-59,2006,12,7,10,28,50,51,59,2006-12-07
6-15-19-24-31-32,2008,12,6,15,19,24,31,32,2008-12-07
28-31-40-42-46-58,2014,12,28,31,40,42,46,58,2014-12-07
8-15-18-45-59-60,2016,12,8,15,18,45,59,60,2016-12-07
17-37-39-51-52-59,1996,12,17,37,39,51,52,59,1996-12-08
19-22-29-37-41-59,2000,12,19,22,29,37,41,59,2000-12-08
6-31-38-39-50-60,2006,12,6,31,38,39,50,60,2006-12-08
14-31-35-38-44-55,2009,12,14,31,35,38,44,55,2009-12-08
25-34-38-45-53-60,2015,12,25,34,38,45,53,60,2015-12-08
7-9-35-41-44-50,1998,12,7,9,35,41,44,50,1998-12-09
7-12-24-31-44-50,2001,12,7,12,24,31,44,50,2001-12-09
13-16-32-33-34-56,2007,12,13,16,32,33,34,56,2007-12-09
7-9-39-43-44-60,2009,12,7,9,39,43,44,60,2009-12-09
3-7-15-29-38-60,2012,12,3,7,15,29,38,60,2012-12-09
15-18-20-32-48-49,2015,12,15,18,20,32,48,49,2015-12-09
4-6-10-25-34-40,1997,12,4,6,10,25,34,40,1997-12-10
1-24-28-38-40-58,2002,12,1,24,28,38,40,58,2002-12-10
18-26-35-41-47-60,2006,12,18,26,35,41,47,60,2006-12-10
10-19-27-33-39-46,2003,12,10,19,27,33,39,46,2003-12-11
1-12-16-26-46-54,2005,12,1,12,16,26,46,54,2005-12-11
2-33-42-43-51-55,2008,12,2,33,42,43,51,55,2008-12-11
1-32-38-47-51-54,2011,12,1,32,38,47,51,54,2011-12-11
7-24-26-28-44-57,2014,12,7,24,26,28,44,57,2014-12-11
15-16-31-41-43-51,1998,12,15,16,31,41,43,51,1998-12-12
4-11-31-32-48-49,2001,12,4,11,31,32,48,49,2001-12-12
19-23-26-31-33-36,2007,12,19,23,26,31,33,36,2007-12-12
9-22-29-36-51-56,2009,12,9,22,29,36,51,56,2009-12-12
26-27-31-38-44-45,2012,12,26,27,31,38,44,45,2012-12-12
32-37-44-47-54-60,2015,12,32,37,44,47,54,60,2015-12-12
1-4-21-22-30-56,2001,1,1,4,21,22,30,56,2001-01-13
13-16-46-53-57-58,2007,1,13,16,46,53,57,58,2007-01-13
1-10-18-19-44-49,2010,1,1,10,18,19,44,49,2010-01-13
8-10-24-33-45-48,1999,2,8,10,24,33,45,48,1999-02-13
3-12-23-41-47-58,2008,2,3,12,23,41,47,58,2008-02-13
6-17-19-34-46-55,2010,2,6,17,19,34,46,55,2010-02-13
1-2-10-19-20-37,2013,2,1,2,10,19,20,37,2013-02-13
11-13-26-27-28-50,2016,2,11,13,26,27,28,50,2016-02-13
4-14-17-43-51-58,1999,3,4,14,17,43,51,58,1999-03-13
10-12-14-33-35-36,2002,3,10,12,14,33,35,36,2002-03-13
17-29-35-40-43-57,2004,3,17,29,35,40,43,57,2004-03-13
4-7-42-47-48-51,2010,3,4,7,42,47,48,51,2010-03-13
4-10-26-37-47-57,2013,3,4,10,26,37,47,57,2013-03-13
12-27-30-37-44-49,1997,4,12,27,30,37,44,49,1997-04-13
19-23-30-46-55-60,2002,4,19,23,30,46,55,60,2002-04-13
1-26-37-39-43-48,2005,4,1,26,37,39,43,48,2005-04-13
13-17-21-39-40-59,2011,4,13,17,21,39,40,59,2011-04-13
4-27-30-36-54-59,2013,4,4,27,30,36,54,59,2013-04-13
2-14-20-25-41-45,2016,4,2,14,20,25,41,45,2016-04-13
4-18-21-25-38-57,1996,5,4,18,21,25,38,57,1996-05-13
23-26-28-36-42-49,2000,5,23,26,28,36,42,49,2000-05-13
1-9-26-40-47-48,2006,5,1,9,26,40,47,48,2006-05-13
8-25-32-34-36-44,2009,5,8,25,32,34,36,44,2009-05-13
1-7-11-32-51-59,2015,5,1,7,11,32,51,59,2015-05-13
1-21-36-38-47-50,1998,6,1,21,36,38,47,50,1998-06-13
18-20-24-36-53-58,2007,6,18,20,24,36,53,58,2007-06-13
4-17-38-40-50-55,2009,6,4,17,38,40,50,55,2009-06-13
3-4-7-15-27-56,2012,6,3,4,7,15,27,56,2012-06-13
3-10-16-23-27-29,2015,6,3,10,16,23,27,29,2015-06-13
16-27-33-43-45-53,1997,7,16,27,33,43,45,53,1997-07-13
5-38-41-45-48-55,2002,7,5,38,41,45,48,55,2002-07-13
21-25-38-53-58-59,2005,7,21,25,38,53,58,59,2005-07-13
43-44-46-53-54-59,2011,7,43,44,46,53,54,59,2011-07-13
4-8-17-29-31-45,2013,7,4,8,17,29,31,45,2013-07-13
15-30-35-39-43-57,2003,8,15,30,35,39,43,57,2003-08-13
8-12-15-41-47-53,2005,8,8,12,15,41,47,53,2005-08-13
4-16-31-36-54-55,2008,8,4,16,31,36,54,55,2008-08-13
8-9-14-32-53-59,2011,8,8,9,14,32,53,59,2011-08-13
3-5-14-35-43-52,2014,8,3,5,14,35,43,52,2014-08-13
1-6-45-49-50-57,2016,8,1,6,45,49,50,57,2016-08-13
