sorteio,ano,mes,n1,n2,n3,n4,n5,n6,data
12-17-44-45-46-60,2006,3,12,17,44,45,46,60,2006-03-05
1-4-26-28-41-58,2008,3,1,4,26,28,41,58,2008-03-05
1-5-7-10-12-45,2014,3,1,5,7,10,12,45,2014-03-05
9-11-27-46-51-53,2016,3,9,11,27,46,51,53,2016-03-05
18-32-47-50-54-56,1996,3,18,32,47,50,54,56,1996-03-06
5-19-30-48-52-55,2000,3,5,19,30,48,52,55,2000-03-06
12-16-20-21-29-50,2006,3,12,16,20,21,29,50,2006-03-06
5-12-24-28-36-37,2009,3,5,12,24,28,36,37,2009-03-06
7-21-28-56-58-59,2015,3,7,21,28,56,58,59,2015-03-06
11-22-23-36-52-59,1999,3,11,22,23,36,52,59,1999-03-07
1-5-9-42-51-58,2002,3,1,5,9,42,51,58,2002-03-07
8-23-24-28-31-47,2004,3,8,23,24,28,31,47,2004-03-07
2-9-12-14-32-54,2010,3,2,9,12,14,32,54,2010-03-07
17-18-30-35-39-58,2013,3,17,18,30,35,39,58,2013-03-07
2-24-34-37-38-50,1997,3,2,24,34,37,38,50,1997-03-08
24-28-40-47-50-52,2002,3,24,28,40,47,50,52,2002-03-08
1-7-14-41-48-59,2005,3,1,7,14,41,48,59,2005-03-08
6-19-22-34-43-45,2011,3,6,19,22,34,43,45,2011-03-08
7-17-38-45-52-56,2013,3,7,17,38,45,52,56,2013-03-08
8-26-28-33-41-54,2016,3,8,26,28,33,41,54,2016-03-08
18-20-28-32-49-53,2003,3,18,20,28,32,49,53,2003-03-09
9-16-34-37-53-57,2005,3,9,16,34,37,53,57,2005-03-09
12-15-27-37-51-60,2008,3,12,15,27,37,51,60,2008-03-09
8-13-25-34-42-48,2011,3,8,13,25,34,42,48,2011-03-09
6-18-24-27-56-59,2014,3,6,18,24,27,56,59,2014-03-09
1-2-34-39-41-45,2016,3,1,2,34,39,41,45,2016-03-09
21-22-35-40-53-59,1998,3,21,22,35,40,53,59,1998-03-10
9-26-48-49-57-58,2001,3,9,26,48,49,57,58,2001-03-10
9-36-37-41-51-53,2007,3,9,36,37,41,51,53,2007-03-10
3-15-16-22-25-54,2009,3,3,15,16,22,25,54,2009-03-10
2-19-22-30-46-52,2012,3,2,19,22,30,46,52,2012-03-10
6-33-34-48-53-59,2015,3,6,33,34,48,53,59,2015-03-10
4-16-21-23-54-57,1996,3,4,16,21,23,54,57,1996-03-11
2-14-28-29-31-32,2001,3,2,14,28,29,31,32,2001-03-11
15-18-33-50-53-55,2004,3,15,18,33,50,53,55,2004-03-11
5-28-33-36-37-38,2007,3,5,28,33,36,37,38,2007-03-11
10-23-36-50-52-60,2010,3,10,23,36,50,52,60,2010-03-11
25-26-28-33-42-51,2011,3,25,26,28,33,42,51,2011-03-11
2-34-35-42-43-55,2012,3,2,34,35,42,43,55,2012-03-11
9-15-19-22-36-42,2003,3,9,15,19,22,36,42,2003-03-12
3-32-37-39-47-53,2005,3,3,32,37,39,47,53,2005-03-12
18-20-33-44-47-60,2008,3,18,20,33,44,47,60,2008-03-12
5-7-42-46-50-60,2011,3,5,7,42,46,50,60,2011-03-12
7-11-19-23-40-49,2014,3,7,11,19,23,40,49,2014-03-12
4-7-26-40-42-58,1998,4,4,7,26,40,42,58,1998-04-01
7-30-32-37-50-54,2003,4,7,30,32,37,50,54,2003-04-01
1-5-7-37-40-47,2006,4,1,5,7,37,40,47,2006-04-01
13-33-36-41-50-56,2012,4,13,33,36,41,50,56,2012-04-01
10-12-23-37-47-51,2014,4,10,12,23,37,47,51,2014-04-01
6-14-28-47-49-56,2004,4,6,14,28,47,49,56,2004-04-02
9-15-38-40-42-52,2006,4,9,15,38,40,42,52,2006-04-02
1-5-6-17-31-50,2009,4,1,5,6,17,31,50,2009-04-02
